state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-23T12:49:12Z,6000,20000,19240
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-25T12:49:12Z,8300,19855,19430
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-26T12:49:12Z,8305,19560,18960
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-27T12:49:12Z,12950,19225,18500
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-28T12:49:12Z,11265,18975,18055
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-01T12:49:12Z,9465,18500,18180
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-02T12:49:12Z,11180,18200,17155
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-05T12:49:12Z,16495,17040,16655
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-06T12:49:12Z,7375,17850,17125
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-07T12:49:12Z,9160,17310,17225
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-08T12:49:12Z,15850,17155,16950
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-09T12:49:12Z,13855,18105,17430
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-11T12:49:12Z,8500,16750,16150
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-12T12:49:12Z,5000,17200,16625
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-13T12:49:12Z,7500,17330,16725
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-14T12:49:12Z,10875,16680,16160
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-15T12:49:12Z,16200,16995,16785
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-16T12:49:12Z,7010,17140,16830
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-18T12:49:12Z,15750,16630,16125
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-19T12:49:12Z,14755,17120,16855
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-22T12:49:12Z,9510,16960,16250
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-23T12:49:12Z,15320,17080,15970
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-01T12:49:12Z,12120,16955,15875
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-02T12:49:12Z,13650,16800,16075
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-03T12:49:12Z,10050,17885,16915
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-04T12:49:12Z,9775,17485,16700
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-05T12:49:12Z,14725,18020,17455
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-06T12:49:12Z,10000,17715,16640
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-08T12:49:12Z,11110,17815,16880
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-09T12:49:12Z,9995,17555,17170
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-10T12:49:12Z,7700,17620,16825
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-11T12:49:12Z,13750,17750,16000
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-12T12:49:12Z,15655,17500,16885
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-13T12:49:12Z,15995,17570,16995
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-15T12:49:12Z,11000,18010,17565
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-16T12:49:12Z,8460,17750,17005
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-17T12:49:12Z,9190,17555,16820
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-18T12:49:12Z,8550,17375,16030
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-20T12:49:12Z,13415,17785,17535
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-22T12:49:12Z,12025,17385,16545
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-24T12:49:12Z,12500,17945,17675
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-25T12:49:12Z,14750,17800,17000
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-26T12:49:12Z,11960,17475,16445
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-27T12:49:12Z,13675,17825,16865
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-04-29T12:49:12Z,9625,17325,16705
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-01T12:49:12Z,9775,17620,16255
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-02T12:49:12Z,14660,17500,16500
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-03T12:49:12Z,9575,17330,17005
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-04T12:49:12Z,15340,17430,16660
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-06T12:49:12Z,10000,17240,16930
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-07T12:49:12Z,11000,17130,16980
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-08T12:49:12Z,13830,17545,16855
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-09T12:49:12Z,12700,16675,16450
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-11T12:49:12Z,12500,16805,16000
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-13T12:49:12Z,14975,16920,16480
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-14T12:49:12Z,9675,16425,15850
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-16T12:49:12Z,9280,17435,16500
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-17T12:49:12Z,10500,17680,17115
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-20T12:49:12Z,13925,17620,16725
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-21T12:49:12Z,14625,17910,17405
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-22T12:49:12Z,8500,17855,17405
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-23T12:49:12Z,12000,17450,16280
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-24T12:49:12Z,12000,17445,16910
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-25T12:49:12Z,9370,17205,16650
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-27T12:49:12Z,8970,17270,16725
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-28T12:49:12Z,9200,17045,16505
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-29T12:49:12Z,9300,16965,16395
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-30T12:49:12Z,11800,16745,16200
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-05-31T12:49:12Z,7955,16635,16305
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-01T12:49:12Z,7250,16400,15975
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-03T12:49:12Z,12650,16485,15930
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-04T12:49:12Z,9545,16350,15860
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-06T12:49:12Z,10000,16515,16090
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-07T12:49:12Z,9200,16660,16220
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-08T12:49:12Z,10000,16570,16240
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-10T12:49:12Z,8000,16465,15980
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-11T12:49:12Z,8000,16170,15725
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-12T12:49:12Z,7000,16260,15800
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-15T12:49:12Z,7550,16640,16220
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-17T12:49:12Z,9000,16605,16200
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-18T12:49:12Z,8000,16655,16480
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-19T12:49:12Z,7125,17585,16995
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-20T12:49:12Z,9000,18070,17365
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-21T12:49:12Z,10050,17930,17385
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-22T12:49:12Z,7500,17750,17225
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-24T12:49:12Z,7000,17685,17130
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-25T12:49:12Z,7125,17645,17070
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-26T12:49:12Z,10650,17745,17300
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-27T12:49:12Z,12625,17910,17220
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-28T12:49:12Z,9150,17750,17280
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-06-29T12:49:12Z,9005,17825,17205
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-01T12:49:12Z,10875,17505,17125
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-02T12:49:12Z,7500,17690,16750
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-03T12:49:12Z,8900,17250,16595
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-04T12:49:12Z,5500,17535,16945
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-05T12:49:12Z,11520,17505,16565
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-06T12:49:12Z,8175,17715,16985
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-08T12:49:12Z,14000,17255,16780
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-07-09T12:49:12Z,6550,17690,17160
